Område,År,Uke,Nedbørsenergi,Nyttbart tilsig HBV (brukes før 2015 og til min/maks/gj.snitt),"Nyttbart tilsig (produksjonsdata og magasinstatistikk, brukes f.o.m. 2015)",Hydrologisk balanse,Magasinavvik,Mark-og grunnvann,Snø,"Avvik snø, mark og grunnvann"
NO,1969,22,334,7716,,,,18442,13306,-11642
NO,1969,23,684,4774,,,,16950,10504,-10773
NO,1969,24,-969,4764,,,,15287,6303,-11656
NO,1969,25,319,4368,,,,14367,3271,-11161
NO,1969,26,-106,4413,,,,12120,1324,-11661
NO,1969,27,2112,2584,,,,12241,920,-8865
NO,1969,28,2798,2651,,,,12812,685,-5991
NO,1969,29,1444,2340,,,,12468,483,-4697
NO,1969,30,797,2368,,,,11573,317,-4499
NO,1969,31,538,2334,,,,10711,179,-4605
NO,1969,32,-1241,1805,,,,8798,103,-5991
NO,1969,33,-644,1475,,,,7704,77,-6671
NO,1969,34,2846,1470,,,,9725,69,-4433
NO,1969,35,817,1537,,,,9503,63,-4542
NO,1969,36,1265,1335,,,,9708,61,-4332
NO,1969,37,5722,2825,,,,12878,65,-1274
NO,1969,38,109,1939,,,,11264,70,-3268
NO,1969,39,7000,3622,,,,13748,665,-646
NO,1969,40,6298,3158,,,,13544,3809,1867
NO,1969,41,2043,3401,,,,14637,1240,-257
NO,1969,42,2617,2951,,,,14278,1183,-1525
NO,1969,43,2583,2093,,,,14252,1636,-1919
NO,1969,44,9400,2702,,,,13725,8774,3768
NO,1969,45,4195,1217,,,,12888,12571,5463
NO,1969,46,4373,1016,,,,12443,16363,7467
NO,1969,47,3160,733,,,,12003,19230,8352
NO,1969,48,1511,407,,,,11651,20691,7602
NO,1969,49,1865,328,,,,11418,22459,7069
NO,1969,50,2241,439,,,,11397,24265,6587
NO,1969,51,508,254,,,,11174,24750,4654
NO,1969,52,1182,193,,,,11052,25857,3593
NO,1970,1,1921,264,,,,10982,27562,657
NO,1970,2,1030,151,,,,10868,28558,-759
NO,1970,3,1894,187,,,,10799,30347,-1648
NO,1970,4,662,120,,,,10730,30965,-3862
NO,1970,5,1278,112,,,,10674,32191,-5267
NO,1970,6,1397,121,,,,10622,33519,-6519
NO,1970,7,935,78,,,,10572,34425,-8048
NO,1970,8,1252,72,,,,10530,35638,-9076
NO,1970,9,1421,83,,,,10498,37009,-9887
NO,1970,10,2091,104,,,,10464,39027,-10022
NO,1970,11,765,64,,,,10434,39763,-11036
NO,1970,12,2419,354,,,,10490,41763,-10527
NO,1970,13,1241,141,,,,10441,42906,-10676
NO,1970,14,103,61,,,,10389,43006,-11370
NO,1970,15,600,68,,,,10387,43542,-10936
NO,1970,16,1098,285,,,,10836,43892,-9617
NO,1970,17,1996,831,,,,11094,44755,-7104
NO,1970,18,840,652,,,,11280,44752,-4620
NO,1970,19,-70,2909,,,,14877,38067,-4503
NO,1970,20,-199,7840,,,,17729,26749,-8883
NO,1970,21,2725,6019,,,,16704,24121,-7712
NO,1970,22,936,5723,,,,18351,17414,-7625
NO,1970,23,-419,6769,,,,17558,10700,-9969
NO,1970,24,-626,7050,,,,15192,5146,-12909
NO,1970,25,-1564,3924,,,,12715,2317,-13766
NO,1970,26,1553,3438,,,,12300,1158,-11647
NO,1970,27,4252,3586,,,,13733,676,-7616
NO,1970,28,3760,3322,,,,14658,453,-4376
NO,1970,29,2324,3263,,,,14007,341,-3300
NO,1970,30,4885,3798,,,,15443,240,-706
NO,1970,31,1348,3223,,,,14076,160,-1258
NO,1970,32,-975,2116,,,,11750,102,-3040
NO,1970,33,692,1541,,,,11328,81,-3042
NO,1970,34,2096,2059,,,,11843,64,-2319
NO,1970,35,-170,1490,,,,10715,55,-3339
NO,1970,36,6153,3112,,,,13625,345,-132
NO,1970,37,3277,2938,,,,14200,126,108
NO,1970,38,2674,2547,,,,14487,87,-27
NO,1970,39,780,1865,,,,13234,206,-1620
NO,1970,40,2303,1652,,,,13922,145,-1419
NO,1970,41,3810,2461,,,,14932,410,-792
NO,1970,42,1493,1971,,,,14506,358,-2122
NO,1970,43,6128,3035,,,,14892,2898,-17
NO,1970,44,5093,1600,,,,13905,7322,2497
NO,1970,45,2614,881,,,,13155,9799,2957
NO,1970,46,3606,689,,,,12686,13187,4535
NO,1970,47,3942,940,,,,12938,15923,5981
NO,1970,48,4508,1786,,,,13302,18222,6784
NO,1970,49,3052,836,,,,12720,21008,6921
NO,1970,50,3580,1487,,,,13446,22299,6670
NO,1970,51,3122,1212,,,,13412,24187,6330
NO,1970,52,2225,1055,,,,12804,25917,5404
NO,1970,53,930,403,,,,12415,26810,3709
NO,1971,1,6239,668,,,,13032,31729,6874
NO,1971,2,2462,2775,,,,13539,30776,4130
NO,1971,3,2556,846,,,,13024,32957,3187
NO,1971,4,2348,604,,,,12687,35023,2152
NO,1971,5,4254,633,,,,12809,38471,3147
NO,1971,6,3028,899,,,,12809,40554,2703
NO,1971,7,2536,641,,,,12421,42830,2207
NO,1971,8,2092,353,,,,12222,44768,1746
NO,1971,9,451,187,,,,12085,45166,-144
NO,1971,10,3867,358,,,,12021,48712,1220
NO,1971,11,2205,266,,,,11971,50704,1442
NO,1971,12,2052,271,,,,11922,52545,1687
NO,1971,13,846,217,,,,11947,53146,1071
NO,1971,14,565,354,,,,12123,53171,529
NO,1971,15,1853,1030,,,,12837,53199,1171
NO,1971,16,2429,1252,,,,12892,54263,2810
NO,1971,17,618,524,,,,12519,54705,4271
NO,1971,18,670,2216,,,,15005,50604,4957
NO,1971,19,1071,6017,,,,17098,43220,2871
NO,1971,20,2192,6705,,,,17387,38065,2090
NO,1971,21,1799,3964,,,,19006,34031,4500
NO,1971,22,-45,11662,,,,18975,21798,-2616
NO,1971,23,-224,6202,,,,16898,17131,-4197
NO,1971,24,2402,4904,,,,16616,14668,-1962
NO,1971,25,471,4449,,,,16257,10882,-1660
NO,1971,26,1687,5809,,,,15841,7012,-2252
NO,1971,27,-94,4747,,,,13848,4180,-3997
NO,1971,28,3873,3671,,,,14702,3496,-1290
NO,1971,29,2106,2708,,,,14597,3008,-43
NO,1971,30,1976,3380,,,,14548,1908,67
NO,1971,31,2081,3265,,,,14460,1191,156
NO,1971,32,1254,2770,,,,13338,971,-582
NO,1971,33,655,2325,,,,12185,737,-1529
NO,1971,34,624,2227,,,,11216,522,-2488
NO,1971,35,2945,1921,,,,12364,494,-1250
NO,1971,36,-8,1829,,,,11069,362,-2669
NO,1971,37,1512,1286,,,,11351,376,-2491
NO,1971,38,5695,3220,,,,13510,649,-443
NO,1971,39,3421,2394,,,,14261,492,-307
NO,1971,40,5416,4219,,,,14907,920,341
NO,1971,41,4138,3104,,,,13903,2824,594
NO,1971,42,8914,3956,,,,15629,5844,4487
NO,1971,43,1855,2640,,,,14634,5945,2772
NO,1971,44,8855,5255,,,,15681,8244,5195
NO,1971,45,4080,1789,,,,14201,11947,6152
NO,1971,46,4420,1420,,,,13482,15646,7789
NO,1971,47,2382,930,,,,13542,16997,7659
NO,1971,48,2729,1613,,,,13576,17994,6830
NO,1971,49,7210,2242,,,,13635,22790,9618
NO,1971,50,4763,1903,,,,14105,25093,10123
NO,1971,51,9253,2663,,,,14129,31533,14393
NO,1971,52,1754,1696,,,,13601,32044,12329
NO,1972,1,184,682,,,,12988,32138,7239
NO,1972,2,395,373,,,,12630,32513,4957
NO,1972,3,1307,295,,,,12401,33755,3363
NO,1972,4,1563,450,,,,12281,34981,1704
NO,1972,5,804,196,,,,12117,35757,-260
NO,1972,6,1384,183,,,,12013,37067,-1580
NO,1972,7,1400,176,,,,11941,38364,-2739
NO,1972,8,331,149,,,,11891,38595,-4758
NO,1972,9,752,117,,,,11801,39316,-6278
NO,1972,10,1533,137,,,,11753,40763,-6997
NO,1972,11,1812,352,,,,11930,42023,-7281
NO,1972,12,4593,911,,,,12205,45377,-5197
NO,1972,13,2272,439,,,,12002,47412,-4608
NO,1972,14,3112,603,,,,12186,49724,-2855
NO,1972,15,1071,890,,,,12641,49415,-2809
NO,1972,16,874,891,,,,12710,49291,-2344
NO,1972,17,1934,862,,,,12680,50326,54
NO,1972,18,1068,2631,,,,15329,46037,713
NO,1972,19,-162,4469,,,,16330,40173,-944
NO,1972,20,440,3557,,,,16743,36451,-167
NO,1972,21,2710,6191,,,,18607,30801,870
NO,1972,22,1379,5321,,,,18381,26838,1829
NO,1972,23,4717,9657,,,,19177,20659,1609
NO,1972,24,1889,7186,,,,18201,16023,977
NO,1972,25,3728,6816,,,,17857,13004,2063
NO,1972,26,680,6317,,,,17419,7691,5
NO,1972,27,1452,6130,,,,15863,4636,-1527
NO,1972,28,349,3845,,,,14058,3108,-2321
NO,1972,29,-113,3357,,,,12376,1704,-3569
NO,1972,30,622,2333,,,,11788,1041,-3560
NO,1972,31,3840,3295,,,,13120,692,-1682
NO,1972,32,5636,4928,,,,14330,494,-68
NO,1972,33,1659,2708,,,,13727,369,-356
NO,1972,34,120,1916,,,,12260,304,-1663
NO,1972,35,-71,1545,,,,11195,210,-2703
NO,1972,36,3418,2116,,,,12308,492,-1301
NO,1972,37,1935,1869,,,,12344,537,-1336
NO,1972,38,1828,1720,,,,12601,463,-1537
NO,1972,39,431,1199,,,,11760,308,-2992
NO,1972,40,1673,1556,,,,12002,218,-3266
NO,1972,41,1491,1528,,,,11938,298,-3897
NO,1972,42,2791,1263,,,,11625,2076,-3284
NO,1972,43,5060,1423,,,,12132,5167,-508
NO,1972,44,4009,2241,,,,12995,5969,233
NO,1972,45,8235,2543,,,,12704,11852,4559
NO,1972,46,2719,1024,,,,11849,14359,4869
NO,1972,47,1414,500,,,,11424,15681,4225
NO,1972,48,5248,1405,,,,11947,18906,6113
NO,1972,49,4279,1292,,,,11693,22116,7002
NO,1972,50,5339,1254,,,,12117,25741,8782
NO,1972,51,1258,1112,,,,11983,25965,6678
NO,1972,52,1736,712,,,,11838,27101,5622
NO,1973,1,5060,2456,,,,13375,28029,3517
NO,1973,2,1733,1731,,,,12834,28471,1120
NO,1973,3,841,624,,,,12233,29257,-1304
NO,1973,4,3201,828,,,,12296,31514,-1747
NO,1973,5,2520,607,,,,12037,33658,-2438
NO,1973,6,7164,1251,,,,12008,39578,927
NO,1973,7,2177,423,,,,11698,41644,298
NO,1973,8,4406,1021,,,,11896,44802,1454
NO,1973,9,2164,446,,,,11681,46730,1017
NO,1973,10,2614,405,,,,11595,49005,1087
NO,1973,11,2031,601,,,,11833,50157,755
NO,1973,12,3544,1189,,,,12679,51577,1476
NO,1973,13,1519,1555,,,,12819,51305,102
NO,1973,14,3386,849,,,,12317,54297,1849
NO,1973,15,1174,414,,,,12052,55306,2493
NO,1973,16,1578,633,,,,12174,56095,3924
NO,1973,17,1374,590,,,,12193,56829,6069
NO,1973,18,3306,925,,,,12959,58441,10748
NO,1973,19,3368,2903,,,,14761,56968,14283
NO,1973,20,2265,2344,,,,14919,56619,18177
NO,1973,21,884,4417,,,,17046,50791,19300
NO,1973,22,3558,9047,,,,19707,42195,18512
NO,1973,23,1033,8243,,,,18576,35718,16067
NO,1973,24,3587,6552,,,,17522,33474,17749
NO,1973,25,-1297,8505,,,,17581,23230,12012
NO,1973,26,-490,8255,,,,15766,15959,6620
NO,1973,27,958,7010,,,,15404,10090,3469
NO,1973,28,3654,6627,,,,15540,6879,2933
NO,1973,29,2819,5094,,,,15705,4536,2594
NO,1973,30,394,3939,,,,13912,3076,599
NO,1973,31,642,2776,,,,12908,2268,-319
NO,1973,32,5378,4225,,,,14471,1925,1504
NO,1973,33,-145,2665,,,,12561,1424,-466
NO,1973,34,1572,2161,,,,11993,1413,-820
NO,1973,35,1449,1649,,,,12316,1142,-650
NO,1973,36,5382,3635,,,,14171,1077,1147
NO,1973,37,2480,2981,,,,13366,1341,489
NO,1973,38,882,1724,,,,12916,1039,-646
NO,1973,39,2531,1341,,,,12666,1646,-749
NO,1973,40,1606,2206,,,,13551,233,-1702
NO,1973,41,2012,1435,,,,12996,1294,-1844
NO,1973,42,746,773,,,,12258,1979,-2748
NO,1973,43,3203,1461,,,,13079,2838,-1890
NO,1973,44,2160,1617,,,,12780,3596,-2354
NO,1973,45,8851,2869,,,,14319,7872,2194
NO,1973,46,3441,1391,,,,13099,11110,2870
NO,1973,47,7818,1343,,,,12905,17736,7761
NO,1973,48,1038,627,,,,12311,18740,6310
NO,1973,49,4987,590,,,,12024,23412,8628
NO,1973,50,6192,749,,,,11864,29005,11793
NO,1973,51,2826,351,,,,11650,31709,12090
NO,1973,52,3806,608,,,,12016,34512,13212
NO,1974,1,3286,1026,,,,11744,36997,10853
NO,1974,2,2572,444,,,,11592,39274,10681
NO,1974,3,6134,818,,,,11691,44479,13376
NO,1974,4,3626,772,,,,11631,47368,13442
NO,1974,5,2268,552,,,,11513,49191,12570
NO,1974,6,2102,409,,,,11346,51056,11742
NO,1974,7,3677,675,,,,11416,53968,12339
NO,1974,8,2450,510,,,,11514,55776,12046
NO,1974,9,663,424,,,,11368,56147,10121
NO,1974,10,222,183,,,,11240,56316,8043
NO,1974,11,553,129,,,,11153,56826,6745
NO,1974,12,2110,232,,,,11163,58698,7082
NO,1974,13,127,192,,,,11227,58573,5779
NO,1974,14,410,821,,,,12338,57019,4592
NO,1974,15,1130,1580,,,,12634,56169,3939
NO,1974,16,1174,1220,,,,13457,55214,4326
NO,1974,17,474,1785,,,,14149,53099,4295
NO,1974,18,125,2865,,,,15403,48964,3715
NO,1974,19,-59,2242,,,,15977,46002,4531
NO,1974,20,-450,5865,,,,18188,37203,2030
NO,1974,21,1185,8817,,,,18586,28732,-1219
NO,1974,22,1785,4603,,,,17280,26994,884
NO,1974,23,3783,5068,,,,18049,24667,4490
NO,1974,24,-149,5620,,,,18345,18351,3449
NO,1974,25,-780,8529,,,,16674,10394,-1730
NO,1974,26,86,5032,,,,14685,7276,-3145
NO,1974,27,2240,4210,,,,14886,5071,-2068
NO,1974,28,1107,3474,,,,14334,3334,-1819
NO,1974,29,2882,3787,,,,14460,2391,-797
NO,1974,30,2763,3489,,,,14324,1877,-187
NO,1974,31,1533,2781,,,,13593,1517,-385
NO,1974,32,485,2066,,,,12652,1118,-1122
NO,1974,33,3325,2799,,,,13830,782,161
NO,1974,34,1006,2397,,,,12847,612,-767
NO,1974,35,2962,3188,,,,13204,420,-484
NO,1974,36,4420,3278,,,,14730,321,951
NO,1974,37,3788,3831,,,,14758,296,836
NO,1974,38,5580,4237,,,,15766,631,1796
NO,1974,39,5312,3927,,,,16618,627,2186
NO,1974,40,2166,2644,,,,15786,901,1202
NO,1974,41,528,1533,,,,14704,953,-478
NO,1974,42,1731,1340,,,,14830,1191,-964
NO,1974,43,2520,1382,,,,14202,2916,-690
NO,1974,44,390,799,,,,13452,3240,-2038
NO,1974,45,2366,619,,,,13154,5251,-1591
NO,1974,46,6360,1751,,,,13339,9626,1626
NO,1974,47,1259,793,,,,12796,10629,545
NO,1974,48,1473,499,,,,12479,11918,-343
NO,1974,49,5929,818,,,,12434,17045,2672
NO,1974,50,3679,697,,,,12243,20202,3370
NO,1974,51,4789,563,,,,12292,24364,5386
NO,1974,52,4830,1760,,,,12695,26955,6333
NO,1975,1,7670,1232,,,,12763,33268,8143
NO,1975,2,8502,1131,,,,12375,41008,13197
NO,1975,3,6390,1491,,,,12546,45703,15455
NO,1975,4,5171,833,,,,12255,50316,17013
NO,1975,5,4291,557,,,,12160,54146,18173
NO,1975,6,1302,692,,,,12154,54745,16240
NO,1975,7,853,283,,,,11939,55527,14421
NO,1975,8,3126,444,,,,12146,57988,14890
NO,1975,9,1893,913,,,,12175,58882,13663
NO,1975,10,1549,460,,,,12075,60050,12612
NO,1975,11,731,287,,,,11956,60600,11322
NO,1975,12,771,192,,,,11853,61275,10349
NO,1975,13,798,169,,,,11754,62003,9735
NO,1975,14,732,112,,,,11675,62700,9610
NO,1975,15,984,131,,,,11651,63571,10357
NO,1975,16,297,159,,,,11705,63661,11021
NO,1975,17,1243,944,,,,12486,63131,12664
NO,1975,18,3320,1465,,,,13025,64375,16748
NO,1975,19,176,3197,,,,16996,57264,16813
NO,1975,20,2431,6881,,,,18339,51077,16054
NO,1975,21,1645,6794,,,,18199,45704,15366
NO,1975,22,434,5409,,,,17481,41133,15224
NO,1975,23,886,3444,,,,18495,37406,17674
NO,1975,24,326,9646,,,,18393,27711,12858
NO,1975,25,522,5556,,,,17925,22867,11993
NO,1975,26,505,6476,,,,16244,18265,9403
NO,1975,27,-411,5286,,,,15683,12918,6576
NO,1975,28,-419,6065,,,,14680,7322,2515
NO,1975,29,1043,4319,,,,13667,5077,1096
NO,1975,30,3280,4278,,,,14410,3442,1463
NO,1975,31,-305,3048,,,,12540,2225,-729
NO,1975,32,-891,2593,,,,10687,1238,-2966
NO,1975,33,691,2082,,,,10398,786,-3267
NO,1975,34,1459,1805,,,,10621,594,-3011
NO,1975,35,2311,1947,,,,11357,500,-2251
NO,1975,36,2227,2246,,,,11595,453,-2053
NO,1975,37,5172,3316,,,,13497,447,-274
NO,1975,38,4423,3527,,,,14527,403,328
NO,1975,39,9270,6019,,,,16982,474,2395
NO,1975,40,6458,5578,,,,17798,327,2640
NO,1975,41,4881,4825,,,,16610,1403,1880
NO,1975,42,2239,2556,,,,15704,1898,617
NO,1975,43,1112,1570,,,,15483,1618,-706
NO,1975,44,3090,3080,,,,15800,1219,-1712
NO,1975,45,2338,2284,,,,15470,1520,-3007
NO,1975,46,1311,1554,,,,14714,1970,-4655
NO,1975,47,3791,1187,,,,13956,5290,-3634
NO,1975,48,3341,1448,,,,13922,7153,-3665
NO,1975,49,5079,957,,,,13446,11712,-1649
NO,1975,50,7006,926,,,,13105,18107,2137
NO,1975,51,5249,845,,,,12966,22613,4309
NO,1975,52,12283,1933,,,,13615,32228,12527
NO,1976,1,9497,1930,,,,13085,40302,15500
NO,1976,2,8330,847,,,,12764,48146,20725
NO,1976,3,4060,513,,,,12481,51991,21679
NO,1976,4,5788,647,,,,12340,57278,24060
NO,1976,5,863,223,,,,12164,58106,22137
NO,1976,6,907,177,,,,12049,58948,20338
NO,1976,7,1549,214,,,,11980,60354,19290
NO,1976,8,1704,294,,,,11982,61743,18481
NO,1976,9,9768,1216,,,,12301,69933,24840
NO,1976,10,2521,633,,,,12115,72011,24612
NO,1976,11,161,205,,,,11920,72162,22849
NO,1976,12,478,118,,,,11813,72625,21658
NO,1976,13,1951,167,,,,11859,74359,22197
NO,1976,14,5668,742,,,,11839,79309,26383
NO,1976,15,3168,454,,,,12109,81743,28987
NO,1976,16,2774,1340,,,,13145,82065,30865
NO,1976,17,1476,1151,,,,13096,82378,32521
NO,1976,18,799,747,,,,12705,82764,34817
NO,1976,19,1408,1269,,,,13982,81591,38126
NO,1976,20,2142,5023,,,,16618,75810,39066
NO,1976,21,-187,8131,,,,18935,64781,35178
NO,1976,22,378,10059,,,,18192,55359,30161
NO,1976,23,543,6495,,,,17890,49383,29046
NO,1976,24,1039,7490,,,,18697,41769,27219
NO,1976,25,1454,9197,,,,18651,33639,23492
NO,1976,26,682,7986,,,,18217,26406,19518
NO,1976,27,695,7714,,,,16841,20431,15247
NO,1976,28,-782,7344,,,,15745,13209,9467
NO,1976,29,1638,6419,,,,15515,8619,6486
NO,1976,30,326,4664,,,,13421,6420,3452
NO,1976,31,3000,3726,,,,13650,5457,3613
NO,1976,32,812,2529,,,,12794,4661,2563
NO,1976,33,-1199,2559,,,,11083,3068,-299
NO,1976,34,-259,2226,,,,9977,2170,-2079
NO,1976,35,-183,1696,,,,9144,1619,-3345
NO,1976,36,2481,1883,,,,9765,1710,-2625
NO,1976,37,4871,2192,,,,11374,2688,-156
NO,1976,38,1505,1664,,,,12077,1895,-629
NO,1976,39,-217,1196,,,,11147,909,-3003
NO,1976,40,508,836,,,,10617,509,-4360
NO,1976,41,3620,1636,,,,12418,639,-3077
NO,1976,42,6439,2396,,,,12919,4049,-18
NO,1976,43,2406,1453,,,,12570,5322,85
NO,1976,44,753,1113,,,,12003,5492,-1235
NO,1976,45,2933,871,,,,11791,7731,-474
NO,1976,46,2869,1082,,,,11788,9489,-61
NO,1976,47,2308,781,,,,11786,10982,-112
NO,1976,48,3974,972,,,,11637,14092,989
NO,1976,49,2609,771,,,,11309,16225,726
NO,1976,50,2496,509,,,,11126,18398,449
NO,1976,51,242,250,,,,10891,18633,-1746
NO,1976,52,1345,189,,,,10745,19920,-2652
NO,1976,53,1834,167,,,,10636,21690,-3189
NO,1977,1,4460,431,,,,10702,25624,-1561
NO,1977,2,1018,193,,,,10552,26610,-3023
NO,1977,3,731,118,,,,10466,27317,-5011
NO,1977,4,1765,127,,,,10408,29015,-6135
NO,1977,5,2010,187,,,,10388,30865,-6880
NO,1977,6,554,100,,,,10320,31397,-8942
NO,1977,7,916,82,,,,10276,32284,-10485
NO,1977,8,669,63,,,,10240,32931,-12074
NO,1977,9,2957,195,,,,10299,35625,-11470
NO,1977,10,2566,640,,,,10710,37100,-11703
NO,1977,11,2036,754,,,,10835,38222,-12177
NO,1977,12,1088,509,,,,10652,38955,-13173
NO,1977,13,1588,266,,,,10496,40422,-13104
NO,1977,14,1150,221,,,,10408,41443,-12914
NO,1977,15,1284,178,,,,10377,42580,-11907
NO,1977,16,1710,424,,,,10636,43595,-10115
NO,1977,17,2369,967,,,,11260,44343,-7349
NO,1977,18,339,2720,,,,14298,38842,-7513
NO,1977,19,2747,3255,,,,14841,37569,-5036
NO,1977,20,154,3417,,,,16723,32268,-4370
NO,1977,21,-175,9083,,,,19331,19927,-9280
NO,1977,22,846,5559,,,,18172,16070,-9148
NO,1977,23,4243,5523,,,,19468,13245,-5514
NO,1977,24,-611,8333,,,,17858,5720,-9669
NO,1977,25,-359,4228,,,,14961,4124,-9714
NO,1977,26,3305,3327,,,,15821,3224,-6061
NO,1977,27,-1910,3635,,,,12787,1301,-7937
NO,1977,28,15,2076,,,,11378,1018,-7091
NO,1977,29,3407,2100,,,,13134,731,-3783
NO,1977,30,2838,2998,,,,13631,439,-2320
NO,1977,31,2071,2659,,,,13645,274,-1575
NO,1977,32,-609,2124,,,,11538,179,-3174
NO,1977,33,688,1619,,,,11280,135,-3036
NO,1977,34,3916,2182,,,,13283,124,-819
NO,1977,35,1928,2505,,,,12979,112,-1018
NO,1977,36,5136,3402,,,,13842,916,657
NO,1977,37,3580,2676,,,,13771,1812,1365
NO,1977,38,-106,2037,,,,13030,401,-1170
NO,1977,39,4997,2762,,,,14439,1011,390
NO,1977,40,1947,1781,,,,13341,2213,68
NO,1977,41,2654,2406,,,,14513,1215,-405
NO,1977,42,2651,2409,,,,14911,1000,-1075
NO,1977,43,3170,2821,,,,15102,1138,-1568
NO,1977,44,5452,3585,,,,15570,2390,-771
NO,1977,45,7335,4087,,,,16537,4477,1017
NO,1977,46,1825,2104,,,,14670,5980,-689
NO,1977,47,1761,982,,,,13764,7653,-1463
NO,1977,48,946,790,,,,13382,8156,-3202
NO,1977,49,2356,617,,,,12992,10281,-3535
NO,1977,50,4907,1085,,,,13169,13880,-2026
NO,1977,51,3884,855,,,,12886,17152,-1232
NO,1977,52,2823,746,,,,12529,19569,-1218
NO,1978,1,5577,607,,,,12586,24481,-820
NO,1978,2,3608,838,,,,12375,27407,-403
NO,1978,3,1835,483,,,,12197,28917,-1680
NO,1978,4,1306,234,,,,12015,30173,-3370
NO,1978,5,1604,180,,,,11892,31724,-4517
NO,1978,6,380,113,,,,11800,32092,-6768
NO,1978,7,1672,115,,,,11727,33712,-7605
NO,1978,8,3023,166,,,,11694,36605,-6944
NO,1978,9,3024,607,,,,11895,38798,-6701
NO,1978,10,2315,391,,,,11877,40732,-6904
NO,1978,11,1939,329,,,,11728,42496,-7010
NO,1978,12,1664,173,,,,11648,44072,-7060
NO,1978,13,2529,533,,,,11894,45804,-6324
NO,1978,14,499,413,,,,11983,45792,-6990
NO,1978,15,1940,449,,,,11855,47382,-5628
NO,1978,16,954,473,,,,12271,47440,-4633
NO,1978,17,624,694,,,,12116,47484,-3352
NO,1978,18,241,609,,,,12646,46595,-1411
NO,1978,19,16,2152,,,,13598,43385,-464
NO,1978,20,263,3275,,,,16862,36941,442
NO,1978,21,2001,11038,,,,20304,23883,-4350
NO,1978,22,-752,11609,,,,19160,12110,-12120
NO,1978,23,2295,8224,,,,17562,7448,-13217
NO,1978,24,-573,4144,,,,15536,4701,-13010
NO,1978,25,997,3656,,,,14762,2868,-11169
NO,1978,26,2545,3528,,,,15135,1638,-8332
NO,1978,27,4839,4527,,,,16222,1008,-4795
NO,1978,28,-387,3005,,,,13529,639,-5319
NO,1978,29,589,1790,,,,12690,500,-4458
NO,1978,30,1013,2265,,,,12123,316,-3950
NO,1978,31,373,1968,,,,11450,181,-3863
NO,1978,32,66,1721,,,,10413,138,-4341
NO,1978,33,3019,2198,,,,11645,122,-2685
NO,1978,34,2996,2597,,,,12398,126,-1702
NO,1978,35,912,1622,,,,11761,165,-2182
NO,1978,36,2144,1552,,,,12578,166,-1357
NO,1978,37,4438,2677,,,,14297,232,312
NO,1978,38,5118,3524,,,,14529,1448,1376
NO,1978,39,2520,2498,,,,14012,1007,-41
NO,1978,40,2741,2024,,,,14133,1504,151
NO,1978,41,1536,2420,,,,14326,410,-1397
NO,1978,42,4158,2098,,,,14339,2360,-286
NO,1978,43,7240,2535,,,,14839,6486,3518
NO,1978,44,5167,3849,,,,15628,6819,3717
NO,1978,45,4554,3999,,,,15715,7077,2796
NO,1978,46,10635,3723,,,,15432,14091,8185
NO,1978,47,7262,2399,,,,14273,20023,11415
NO,1978,48,639,861,,,,13424,20642,9326
NO,1978,49,382,514,,,,12918,21006,7117
NO,1978,50,1525,405,,,,12582,22459,5966
NO,1978,51,1518,324,,,,12335,23891,4956
NO,1978,52,391,217,,,,12135,24270,3088
NO,1979,1,1307,193,,,,11999,25515,-373
NO,1979,2,4073,325,,,,11881,29387,1083
NO,1979,3,460,137,,,,11770,29829,-1195
NO,1979,4,471,106,,,,11680,30284,-3593
NO,1979,5,1429,124,,,,11607,31666,-4861
NO,1979,6,2678,135,,,,11542,34260,-4857
NO,1979,7,462,80,,,,11491,34703,-6851
NO,1979,8,603,67,,,,11449,35276,-8519
NO,1979,9,4843,530,,,,11703,39304,-6387
NO,1979,10,6577,850,,,,11638,45064,-2812
NO,1979,11,878,239,,,,11462,45893,-3878
NO,1979,12,1394,140,,,,11397,47218,-4165
NO,1979,13,2927,505,,,,11685,49348,-2988
NO,1979,14,1229,481,,,,11709,50072,-2983
NO,1979,15,661,452,,,,11929,50050,-2886
NO,1979,16,960,583,,,,12248,50079,-2019
NO,1979,17,1746,1246,,,,12853,49908,-191
NO,1979,18,1588,913,,,,12617,50788,2753
NO,1979,19,480,644,,,,12656,50563,5772
NO,1979,20,3801,3986,,,,15881,46939,9459
NO,1979,21,4257,6386,,,,18814,41557,11833
NO,1979,22,2486,9622,,,,20281,32484,9375
NO,1979,23,-214,11445,,,,18780,21770,2323
NO,1979,24,639,7452,,,,17612,15765,130
NO,1979,25,-264,5914,,,,16348,10611,-1839
NO,1979,26,4897,6515,,,,16876,8243,14
NO,1979,27,383,3539,,,,15135,6744,-145
NO,1979,28,1173,3908,,,,14723,4447,-316
NO,1979,29,3774,4376,,,,15426,3203,981
NO,1979,30,568,3034,,,,13980,2359,-50
NO,1979,31,2601,3207,,,,14262,1693,460
NO,1979,32,3473,3336,,,,14984,1290,1383
NO,1979,33,5255,4891,,,,15887,920,2356
NO,1979,34,1898,3647,,,,14618,705,1097
NO,1979,35,940,2207,,,,13525,638,56
NO,1979,36,2503,2549,,,,13936,471,306
NO,1979,37,4463,3054,,,,14694,1069,1545
NO,1979,38,5330,3892,,,,15535,1521,2454
NO,1979,39,3984,3105,,,,15336,1553,1828
NO,1979,40,562,1641,,,,13982,1774,270
